"DRD360.Code.or.Value","DRD360.Value.Description","DRD360.Count","DRD360.Cumulative","DRD360.Skip.to.Item"
"1","Yes",4882,4882,""
"2","No",3280,8162,"End of Section"
"7","Refused",16,8178,"End of Section"
"9","Don't know",84,8262,"End of Section"
".","Missing",1282,9544,""
