"LBDBSESI.Code.or.Value","LBDBSESI.Value.Description","LBDBSESI.Count","LBDBSESI.Cumulative","LBDBSESI.Skip.to.Item"
"1.22 to 8.8","Range of Values",7920,7920,NA
".","Missing",1036,8956,NA
