"DSQTLYCO.Code.or.Value","DSQTLYCO.Value.Description","DSQTLYCO.Count","DSQTLYCO.Cumulative","DSQTLYCO.Skip.to.Item"
"5.8 to 30950","Range of Values",1091,1091,NA
".","Missing",9058,10149,NA
