"URDPMALC.Code.or.Value","URDPMALC.Value.Description","URDPMALC.Count","URDPMALC.Cumulative","URDPMALC.Skip.to.Item"
"0","At or above the detection limit",661,661,NA
"1","Below lower detection limit",2508,3169,NA
".","Missing",148,3317,NA
