"DR2IB12A.Code.or.Value","DR2IB12A.Value.Description","DR2IB12A.Count","DR2IB12A.Cumulative","DR2IB12A.Skip.to.Item"
"0 to 47.93","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
