"DR2IFDCD.Code.or.Value","DR2IFDCD.Value.Description","DR2IFDCD.Count","DR2IFDCD.Cumulative","DR2IFDCD.Skip.to.Item"
"11000000 to 95330100","Range of Values",100680,100680,NA
".","Missing",0,100680,NA
