"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1716,1716,NA
"1","Below lower detection limit",857,2573,NA
".","Missing",100,2673,NA
