"BMXTRI.Code.or.Value","BMXTRI.Value.Description","BMXTRI.Count","BMXTRI.Cumulative","BMXTRI.Skip.to.Item"
"1.4 to 44.7","Range of Values",9432,9432,NA
".","Missing",1045,10477,NA
