"AUQ154.Code.or.Value","AUQ154.Value.Description","AUQ154.Count","AUQ154.Cumulative","AUQ154.Skip.to.Item"
"1","Yes",72,72,NA
"2","No",4603,4675,NA
"7","Refused",0,4675,NA
"9","Don't know",0,4675,NA
".","Missing",4689,9364,NA
