"RFXT136.Code.or.Value","RFXT136.Value.Description","RFXT136.Count","RFXT136.Cumulative","RFXT136.Skip.to.Item"
"1185 to 1194","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
