"LBXSBU.Code.or.Value","LBXSBU.Value.Description","LBXSBU.Count","LBXSBU.Cumulative","LBXSBU.Skip.to.Item"
"3 to 96","Range of Values",6255,6255,NA
".","Missing",489,6744,NA
