"LBDF07LC.Code.or.Value","LBDF07LC.Value.Description","LBDF07LC.Count","LBDF07LC.Cumulative","LBDF07LC.Skip.to.Item"
"0","detectable result",40,40,NA
"1","below detectable limit",1844,1884,NA
".","Missing",390,2274,NA
