"AUDTYR60.Code.or.Value","AUDTYR60.Value.Description","AUDTYR60.Count","AUDTYR60.Cumulative","AUDTYR60.Skip.to.Item"
"0 to 1.28","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
