"SSTBBAL.Code.or.Value","SSTBBAL.Value.Description","SSTBBAL.Count","SSTBBAL.Cumulative","SSTBBAL.Skip.to.Item"
"0","At or above the detection limit",115,115,NA
"1","Below lower detection limit",2201,2316,NA
".","Missing",1,2317,NA
