"DR1IBCAR.Code.or.Value","DR1IBCAR.Value.Description","DR1IBCAR.Count","DR1IBCAR.Cumulative","DR1IBCAR.Skip.to.Item"
"0 to 51321","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
