"URDDHDLC.Code.or.Value","URDDHDLC.Value.Description","URDDHDLC.Count","URDDHDLC.Cumulative","URDDHDLC.Skip.to.Item"
"0","At or above detection limit",205,205,NA
"1","Below lower detection limit",2214,2419,NA
".","Missing",86,2505,NA
