"RDD060.Code.or.Value","RDD060.Value.Description","RDD060.Count","RDD060.Cumulative","RDD060.Skip.to.Item"
"1 to 66","Range of Values",502,502,NA
"70","70 to 150",6,508,NA
"77777","Refused",0,508,NA
"99999","Don't know",15,523,NA
".","Missing",9947,10470,NA
