"LBDSCASI.Code.or.Value","LBDSCASI.Value.Description","LBDSCASI.Count","LBDSCASI.Cumulative","LBDSCASI.Skip.to.Item"
"1.675 to 3.125","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
