"MCQ240DK.Code.or.Value","MCQ240DK.Value.Description","MCQ240DK.Count","MCQ240DK.Cumulative","MCQ240DK.Skip.to.Item"
"55 to 80","Range of Values",3,3,NA
"85","85 years or older",1,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",9818,9822,NA
