"DR2TATOA.Code.or.Value","DR2TATOA.Value.Description","DR2TATOA.Count","DR2TATOA.Cumulative","DR2TATOA.Skip.to.Item"
"0 to 70.15","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
