"DS1ICARB.Code.or.Value","DS1ICARB.Value.Description","DS1ICARB.Count","DS1ICARB.Cumulative","DS1ICARB.Skip.to.Item"
"0.00006 to 99","Range of Values",1111,1111,NA
".","Missing",4847,5958,NA
