"WBXA081.Code.or.Value","WBXA081.Value.Description","WBXA081.Count","WBXA081.Cumulative","WBXA081.Skip.to.Item"
"-0.5851 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
