"BIXC273K.Code.or.Value","BIXC273K.Value.Description","BIXC273K.Count","BIXC273K.Cumulative","BIXC273K.Skip.to.Item"
"10.62 to 108.18","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
