"URDUCOLC.Code.or.Value","URDUCOLC.Value.Description","URDUCOLC.Count","URDUCOLC.Cumulative","URDUCOLC.Skip.to.Item"
"0","At or above the detection limit",2566,2566,NA
"1","Below lower detection limit",10,2576,NA
".","Missing",116,2692,NA
