"OPDDASHY.Code.or.Value","OPDDASHY.Value.Description","OPDDASHY.Count","OPDDASHY.Cumulative","OPDDASHY.Skip.to.Item"
"0","No",2435,2435,NA
"1","Questionable",5,2440,NA
"2","Yes",4,2444,NA
"3","Yes, in center",1,2445,NA
".","Missing",489,2934,NA
