"PAXLXSD.Code.or.Value","PAXLXSD.Value.Description","PAXLXSD.Count","PAXLXSD.Cumulative","PAXLXSD.Skip.to.Item"
"0 to 1967563.43","Range of Values",61168,61168,NA
".","Missing",0,61168,NA
