"VTD244B.Code.or.Value","VTD244B.Value.Description","VTD244B.Count","VTD244B.Cumulative","VTD244B.Skip.to.Item"
"1 to 48","Range of Values",689,689,NA
"0","Less than one hour",3,692,NA
"77","Refused",0,692,NA
"99","Don't know",0,692,NA
".","Missing",2480,3172,NA
