"DRD350H.Code.or.Value","DRD350H.Value.Description","DRD350H.Count","DRD350H.Cumulative","DRD350H.Skip.to.Item"
"1","Yes",2834,2834,""
"2","No",499,3333,"DRD350I"
".","Missing",5949,9282,""
