"DR2TMAGN.Code.or.Value","DR2TMAGN.Value.Description","DR2TMAGN.Count","DR2TMAGN.Cumulative","DR2TMAGN.Skip.to.Item"
"0 to 1912","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
