"DR2IPOTA.Code.or.Value","DR2IPOTA.Value.Description","DR2IPOTA.Count","DR2IPOTA.Cumulative","DR2IPOTA.Skip.to.Item"
"0 to 17150","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
