"BPXDI2.Code.or.Value","BPXDI2.Value.Description","BPXDI2.Count","BPXDI2.Cumulative","BPXDI2.Skip.to.Item"
"0 to 144","Range of Values",7313,7313,NA
".","Missing",2231,9544,NA
