"WHD080F.Code.or.Value","WHD080F.Value.Description","WHD080F.Count","WHD080F.Cumulative","WHD080F.Skip.to.Item"
"15","Ate 'diet' foods or products",266,266,NA
".","Missing",6061,6327,NA
