"PFD069B.Code.or.Value","PFD069B.Value.Description","PFD069B.Count","PFD069B.Cumulative","PFD069B.Skip.to.Item"
"2 to 26298","Range of Values",535,535,NA
"66666","Since birth",7,542,NA
"77777","Refused",0,542,NA
"99999","Don't know",1,543,NA
".","Missing",9279,9822,NA
