"BIXC649K.Code.or.Value","BIXC649K.Value.Description","BIXC649K.Count","BIXC649K.Cumulative","BIXC649K.Skip.to.Item"
"10.43 to 2101.27","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
