"DR1BWATZ.Code.or.Value","DR1BWATZ.Value.Description","DR1BWATZ.Count","DR1BWATZ.Cumulative","DR1BWATZ.Skip.to.Item"
"0 to 10000","Range of Values",8519,8519,NA
".","Missing",819,9338,NA
