"URDUACLC.Code.or.Value","URDUACLC.Value.Description","URDUACLC.Count","URDUACLC.Cumulative","URDUACLC.Skip.to.Item"
"0","At or above the detection limit",65,65,NA
"1","Below lower detection limit",2523,2588,NA
".","Missing",104,2692,NA
