"RFXC019.Code.or.Value","RFXC019.Value.Description","RFXC019.Count","RFXC019.Cumulative","RFXC019.Skip.to.Item"
"-5.982 to 3.76","Range of Values",51072,51072,NA
".","Missing",4,51076,NA
