"DBD411.Code.or.Value","DBD411.Value.Description","DBD411.Count","DBD411.Cumulative","DBD411.Skip.to.Item"
"1 to 5","Range of Values",1263,1263,""
"0","None",1351,2614,"End of Section"
"7777","Refused",0,2614,"End of Section"
"9999","Don't know",13,2627,"End of Section"
".","Missing",8412,11039,""
