"URXVOL2.Code.or.Value","URXVOL2.Value.Description","URXVOL2.Count","URXVOL2.Cumulative","URXVOL2.Skip.to.Item"
"0 to 420","Range of Values",1315,1315,NA
".","Missing",7276,8591,NA
