"RFXT090.Code.or.Value","RFXT090.Value.Description","RFXT090.Count","RFXT090.Cumulative","RFXT090.Skip.to.Item"
"778 to 787","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
