"DID250.Code.or.Value","DID250.Value.Description","DID250.Count","DID250.Cumulative","DID250.Skip.to.Item"
"1 to 150","Range of Values",574,574,NA
"0","None",10,584,NA
"7777","Refused",0,584,NA
"9999","Don't know",0,584,NA
".","Missing",9525,10109,NA
