"DS2TTFAT.Code.or.Value","DS2TTFAT.Value.Description","DS2TTFAT.Count","DS2TTFAT.Cumulative","DS2TTFAT.Skip.to.Item"
"0.02 to 15","Range of Values",524,524,NA
".","Missing",9020,9544,NA
