"DXXHEBMC.Code.or.Value","DXXHEBMC.Value.Description","DXXHEBMC.Count","DXXHEBMC.Cumulative","DXXHEBMC.Skip.to.Item"
"168.37 to 888.47","Range of Values",5379,5379,NA
".","Missing",654,6033,NA
