"BIXC009K.Code.or.Value","BIXC009K.Value.Description","BIXC009K.Count","BIXC009K.Cumulative","BIXC009K.Skip.to.Item"
"16.31 to 689.1","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
