"DEX1PSPM.Code.or.Value","DEX1PSPM.Value.Description","DEX1PSPM.Count","DEX1PSPM.Cumulative","DEX1PSPM.Skip.to.Item"
"1","Present",1,1,NA
".","Missing",2991,2992,NA
