"AUXR8KL.Code.or.Value","AUXR8KL.Value.Description","AUXR8KL.Count","AUXR8KL.Cumulative","AUXR8KL.Skip.to.Item"
"35 to 100","Range of Values",43,43,NA
"666","No response",2,45,NA
"888","Could not obtain",0,45,NA
".","Missing",4537,4582,NA
