"LBCHXC.Code.or.Value","LBCHXC.Value.Description","LBCHXC.Count","LBCHXC.Cumulative","LBCHXC.Skip.to.Item"
"6.62 to 320","Range of Values",247,247,NA
".","Missing",17,264,NA
