"DID350.Code.or.Value","DID350.Value.Description","DID350.Count","DID350.Cumulative","DID350.Skip.to.Item"
"1 to 20","Range of Values",699,699,NA
"0","None",139,838,NA
"7777","Refused",0,838,NA
"9999","Don't know",5,843,NA
".","Missing",8732,9575,NA
