"DS2TVB1.Code.or.Value","DS2TVB1.Value.Description","DS2TVB1.Count","DS2TVB1.Cumulative","DS2TVB1.Skip.to.Item"
"0.1 to 1501","Range of Values",1656,1656,NA
".","Missing",8597,10253,NA
