"LBXMIRLA.Code.or.Value","LBXMIRLA.Value.Description","LBXMIRLA.Count","LBXMIRLA.Cumulative","LBXMIRLA.Skip.to.Item"
"1.6 to 220","Range of Values",1853,1853,NA
".","Missing",421,2274,NA
