"LEALPTPD.Code.or.Value","LEALPTPD.Value.Description","LEALPTPD.Count","LEALPTPD.Cumulative","LEALPTPD.Skip.to.Item"
"1","Yes",167,167,NA
"2","No",54,221,NA
"8","Could not obtain",0,221,NA
".","Missing",2963,3184,NA
