"LBDBR66C.Code.or.Value","LBDBR66C.Value.Description","LBDBR66C.Count","LBDBR66C.Cumulative","LBDBR66C.Skip.to.Item"
"0","At or above the detection limit",35,35,NA
"1","Below lower detection limit",249,284,NA
".","Missing",0,284,NA
