"FFQ0092A.Code.or.Value","FFQ0092A.Value.Description","FFQ0092A.Count","FFQ0092A.Cumulative","FFQ0092A.Skip.to.Item"
1,"Almost never or never",1393,1393,NA
2,"About 1/4 of the time",162,1555,NA
3,"About 1/2 of the time",137,1692,NA
4,"About 3/4 of the time",113,1805,NA
5,"Almost always or always",308,2113,NA
88,"Blank",4358,6471,NA
99,"Error",1,6472,NA
