"TYXP178.Code.or.Value","TYXP178.Value.Description","TYXP178.Count","TYXP178.Cumulative","TYXP178.Skip.to.Item"
"-297 to 2","Range of Values",2296,2296,NA
".","Missing",6173,8469,NA
