"OSQ130.Code.or.Value","OSQ130.Value.Description","OSQ130.Count","OSQ130.Cumulative","OSQ130.Skip.to.Item"
"1","Yes",278,278,""
"2","No",5619,5897,"OSQ150"
"7","Refused",0,5897,"OSQ150"
"9","Don't know",38,5935,"OSQ150"
".","Missing",0,5935,""
