"WTSHM2YR.Code.or.Value","WTSHM2YR.Value.Description","WTSHM2YR.Count","WTSHM2YR.Cumulative","WTSHM2YR.Skip.to.Item"
"3374.3792502 to 743254.6001","Range of Values",2465,2465,NA
"0","Non-Respondent",82,2547,NA
".","Missing",0,2547,NA
