"MCQ370a.Code.or.Value","MCQ370a.Value.Description","MCQ370a.Count","MCQ370a.Cumulative","MCQ370a.Skip.to.Item"
"1","Yes",3643,3643,NA
"2","No",2529,6172,NA
"7","Refused",1,6173,NA
"9","Don't know",1,6174,NA
".","Missing",3190,9364,NA
