"DXXRLBMC.Code.or.Value","DXXRLBMC.Value.Description","DXXRLBMC.Count","DXXRLBMC.Cumulative","DXXRLBMC.Skip.to.Item"
"77.97 to 915.52","Range of Values",5295,5295,NA
".","Missing",738,6033,NA
