"WTSAU12.Code.or.Value","WTSAU12.Value.Description","WTSAU12.Count","WTSAU12.Cumulative","WTSAU12.Skip.to.Item"
"0 to 478575.71295","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
