"DR2TP225.Code.or.Value","DR2TP225.Value.Description","DR2TP225.Count","DR2TP225.Cumulative","DR2TP225.Skip.to.Item"
"0 to 0.919","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
