"DXXANTV.Code.or.Value","DXXANTV.Value.Description","DXXANTV.Count","DXXANTV.Cumulative","DXXANTV.Skip.to.Item"
"0","Valid",5425,5425,NA
"1","Invalid",23,5448,NA
".","Missing",585,6033,NA
