"WBXP105.Code.or.Value","WBXP105.Value.Description","WBXP105.Count","WBXP105.Cumulative","WBXP105.Skip.to.Item"
"-170.6558 to 178.1547","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
