"LBDCBCSI.Code.or.Value","LBDCBCSI.Value.Description","LBDCBCSI.Count","LBDCBCSI.Cumulative","LBDCBCSI.Skip.to.Item"
"0.0056 to 0.4337","Range of Values",6870,6870,NA
"0.0039","Fill Value of Limit of Detection",398,7268,NA
".","Missing",714,7982,NA
