"WBXA103.Code.or.Value","WBXA103.Value.Description","WBXA103.Count","WBXA103.Cumulative","WBXA103.Skip.to.Item"
"-9.865 to 0.9977","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
